"","vversion","vdsetno","self_report_turnout","validated_turnout","misreport","campaign_interest","pid_strength","white","black","other_race","female","age","agesquared","married","educ_years","educ_summary","fam_income","church_attendance","county_stability","house_stability","civic_duty","int_eff_1","int_eff_2","int_eff_3","int_eff_4","int_eff_scale","ext_eff_1","ext_eff_2","ext_eff_3","ext_eff_4","ext_eff_scale","post_int_date","post_int_days","alone_pre","cooperative_pre","suspicion_pre","suspicion_post","sincerity_pre","report_income_correctly","refusal_conversion","total_calls","refuse_initially","break_appts","refused_fam_income","trust_in_govt"
"673",1,"1988.TV",1,1,0,2,1,1,0,0,0,64,4096,1,17,5,19,1,1,2,4,4,0,4,4,0.998120903968811,1,0,2,1,-0.217723175883293,1117,9,0,4,0,0,2,1,0,2,0,0,0,1
"674",1,"1988.TV",0,0,0,2,3,1,0,0,1,35,1225,1,12,2,17,3,5,2,4,3,0,1,0,-0.665076315402985,3,3,2,NA,NA,1121,13,0,3,1,0,2,1,0,7,0,0,0,3
"675",1,"1988.TV",0,0,0,0,3,0,0,1,1,42,1764,0,10,1,1,4,15,15,4,1,1,1,1,-0.71534663438797,0,1,1,0,-0.945332169532776,1110,2,1,4,0,0,2,1,0,1,0,0,0,1
"676",1,"1988.TV",1,1,0,1,1,1,0,0,0,83,6889,1,17,6,1,1,10,2,NA,4,3,3,3,1.15921807289124,1,1,2,1,-0.0194342695176601,1109,1,0,4,0,0,2,1,0,1,0,0,0,2
"677",1,"1988.TV",0,0,0,1,3,1,0,0,0,67,4489,0,9,1,12,0,11,2,4,1,0,1,1,-0.905032992362976,4,1,1,0,-0.236874759197235,1110,2,1,4,0,0,2,1,0,2,1,0,0,1
"678",1,"1988.TV",0,0,0,2,1,1,0,0,0,20,400,0,13,3,2,NA,0,0,4,4,3,4,3,1.35429108142853,0,1,1,1,-0.546114027500153,1119,11,1,4,0,0,2,1,0,9,0,1,0,1
"679",1,"1988.TV",1,1,0,1,1,1,0,0,0,68,4624,0,13,3,16,1,15,15,0,3,0,0,2,-0.434371441602707,3,1,1,0,-0.413989096879959,1106,NA,0,4,0,0,2,1,0,3,0,0,0,2
"680",1,"1988.TV",NA,NA,NA,1,2,1,0,0,1,79,6241,0,11,1,3,4,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,0,2,1,0,7,1,0,0,NA
"681",1,"1988.TV",0,0,0,1,3,1,0,0,1,26,676,0,12,2,10,2,2,1,4,3,1,1,3,0.163276746869087,3,1,1,1,-0.0147709958255291,1211,33,1,3,0,0,2,1,1,15,0,0,0,1
"682",1,"1988.TV",0,0,0,0,1,1,0,0,1,29,841,0,10,1,5,2,15,5,4,0,0,2,0,-1.14927172660828,0,0,0,0,-1.49318647384644,1207,29,0,4,0,0,2,1,1,17,0,1,0,1
"683",1,"1988.TV",NA,NA,NA,1,3,1,0,0,0,34,1156,1,16,5,22,2,15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,NA,2,1,0,17,NA,NA,0,NA
"684",1,"1988.TV",0,0,0,1,3,1,0,0,1,41,1681,1,11,1,13,1,10,10,4,3,0,0,0,-0.860149264335632,0,0,2,1,-0.394837528467178,1109,1,0,4,0,0,2,1,0,1,0,0,0,2
"685",1,"1988.TV",1,1,0,1,2,1,0,0,1,35,1225,1,14,4,18,3,12,6,NA,2,1,0,2,-0.471107870340347,4,3,1,1,0.558921217918396,1113,5,1,4,1,0,2,1,0,6,0,0,0,2
"686",1,"1988.TV",0,0,0,0,1,1,0,0,0,47,2209,0,17,6,15,1,4,4,NA,3,2,3,2,0.530220031738281,4,1,0,1,-0.187222078442574,1117,9,1,4,0,0,2,1,0,4,0,0,0,1
"687",1,"1988.TV",NA,NA,NA,0,2,1,0,0,1,52,2704,1,12,2,15,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,0,2,1,0,11,1,0,0,NA
"688",1,"1988.TV",NA,NA,NA,1,2,1,0,0,0,55,3025,1,12,2,14,4,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,0,2,1,0,5,1,0,0,NA
"689",1,"1988.TV",0,0,0,0,3,1,0,0,0,70,4900,1,7,0,9,1,1,1,4,1,3,0,0,-0.743935823440552,4,3,2,1,0.908486604690552,1110,2,0,4,1,0,2,1,0,1,0,0,0,2
