obs,link,w1_type,n_w,n_x,n_z,fd1,fd2,true1,true2,max_lik
partial observability,cloglog,binary,1,1,1,-0.0249821065677511,0.138788700604751,-0.0470352515812469,0.210088047190762,-836336893.082108
full observability,cauchit,binary,1,1,1,-0.0469168199324529,0.211938386863286,-0.0464997405996201,0.216411285775276,NA
partial observability,cauchit,binary,1,1,1,-0.00390917200179869,0.165108731836115,-0.0464997405996201,0.216411285775276,-836488419.857206
full observability,logit,continuous,3,1,2,0.0210759572277632,0.0603852717185517,0.0210752713456632,0.0603829159314357,NA
partial observability,logit,continuous,3,1,2,0.0210735597857826,0.0604407966197007,0.0210752713456632,0.0603829159314357,-47735978719.7045
full observability,probit,continuous,3,1,2,0.0209379979719613,0.0600866405896839,0.0233978992069041,0.0626355918754093,NA
partial observability,probit,continuous,3,1,2,0.043036099764194,0.0659730242559854,0.0233978992069041,0.0626355918754093,-47798174981.3542
full observability,cloglog,continuous,3,1,2,0.0210459652436841,0.0587095022237576,0.0202856463276522,0.0641874737221331,NA
partial observability,cloglog,continuous,3,1,2,0.0218216971890648,0.0512584277072384,0.0202856463276522,0.0641874737221331,-47738890227.0115
full observability,cauchit,continuous,3,1,2,0.0144082546963591,0.0528122539479507,0.00637232169022595,0.036400111796896,NA
partial observability,cauchit,continuous,3,1,2,0.0548173117591129,1.57762258812255e-09,0.00637232169022595,0.036400111796896,-49647770518.0995
full observability,logit,continuous,1,1,2,0.365400635377534,-0.0425929145661264,0.365413030280503,-0.0425940370534399,NA
partial observability,logit,continuous,1,1,2,0.365299254673317,-0.0426305571326178,0.365413030280503,-0.0425940370534399,-3497262482.48372
full observability,probit,continuous,1,1,2,0.365354613605629,-0.0425742452619869,0.364301918397053,-0.0425851588298273,NA
partial observability,probit,continuous,1,1,2,0.383404230177794,-0.0455682028145833,0.364301918397053,-0.0425851588298273,-3497117209.24174
full observability,cloglog,continuous,1,1,2,0.362158831041017,-0.0425972981366723,0.36015544307812,-0.0425914370562359,NA
partial observability,cloglog,continuous,1,1,2,0.25473176266899,-0.0534252072933311,0.36015544307812,-0.0425914370562359,-3499971135.39634
full observability,cauchit,continuous,1,1,2,0.363354134395112,-0.0417087670001636,0.368527826050216,-0.0415930163793127,NA
partial observability,cauchit,continuous,1,1,2,0.237456157533007,-0.0176290738532588,0.368527826050216,-0.0415930163793127,-3505769820.63024
full observability,logit,continuous,2,2,2,-0.0439266875271139,-0.278016756909391,-0.0439269850314646,-0.278015078780772,NA
partial observability,logit,continuous,2,2,2,-0.0439214312871566,-0.278073534250085,-0.0439269850314646,-0.278015078780772,-29094480687.6021
full observability,probit,continuous,2,2,2,-0.0436624730980872,-0.277882005941849,-0.046868684929408,-0.274522000614679,NA
partial observability,probit,continuous,2,2,2,-0.0609639816691736,-0.213694644281162,-0.046868684929408,-0.274522000614679,-29103495825.0152
full observability,cloglog,continuous,2,2,2,-0.0438966212816092,-0.27354986542374,-0.0428926765606812,-0.266425707247528,NA
partial observability,cloglog,continuous,2,2,2,-0.0485064983225725,-0.220481058007032,-0.0428926765606812,-0.266425707247528,-29101062343.0147
full observability,cauchit,continuous,2,2,2,-0.0338617537575475,-0.274623787107132,-0.0180604078710969,-0.293878116226949,NA
partial observability,cauchit,continuous,2,2,2,-0.0200279413997351,-0.393761643114649,-0.0180604078710969,-0.293878116226949,-29925782628.3571
full observability,logit,continuous,2,2,2,-0.00741369252859029,-0.0161810189369172,-0.00741349833898771,-0.0161822497922235,NA
partial observability,logit,continuous,2,2,2,-0.00748373762660587,-0.0162636847785554,-0.00741349833898771,-0.0161822497922235,-311216724.956497
full observability,probit,continuous,2,2,2,-0.00743200401911444,-0.0161196003188101,-0.00886747830597275,-0.0168150162421401,NA
partial observability,probit,continuous,2,2,2,-0.0701363981240269,-0.00314902859669575,-0.00886747830597275,-0.0168150162421401,-311461378.09057
full observability,cloglog,continuous,2,2,2,-0.00741239438545537,-0.0161809916538509,-0.00732859788879167,-0.0160488953182196,NA
partial observability,cloglog,continuous,2,2,2,-0.00634360854255738,-0.0158225413404573,-0.00732859788879167,-0.0160488953182196,-311138007.505319
full observability,cauchit,continuous,2,2,2,-0.00613169006259541,-0.0130215031055479,-0.00078597571179323,-0.00865069377268918,NA
partial observability,cauchit,continuous,2,2,2,0.0892191476697397,-0.0191767252405036,-0.00078597571179323,-0.00865069377268918,-315127819.550762
full observability,logit,continuous,1,0,1,-0.00121622392060933,-0.0469143716967761,-0.00113880656836346,-0.0469174043076014,NA
partial observability,logit,continuous,1,0,1,-0.0016993066607715,-0.045195815313949,-0.00113880656836346,-0.0469174043076014,-626858735.333617
full observability,probit,continuous,1,0,1,-0.00103632995088437,-0.0466010875749924,-0.00111749420581941,-0.0496537568998082,NA
partial observability,probit,continuous,1,0,1,-0.00181398898586482,-0.0458851885722394,-0.00111749420581941,-0.0496537568998082,-626883353.207415
full observability,cloglog,continuous,1,0,1,-0.00108406594378069,-0.0455564794692473,-0.00111749328579386,-0.0512205065643969,NA
partial observability,cloglog,continuous,1,0,1,7.00952923464726e-05,-0.0505123138951975,-0.00111749328579386,-0.0512205065643969,-626898146.844577
full observability,cauchit,continuous,1,0,1,-0.00107741594481231,-0.0406203158672699,-0.00111749196792815,-0.01885115483109,NA
partial observability,cauchit,continuous,1,0,1,0.00543938435849417,-0.0529852867429668,-0.00111749196792815,-0.01885115483109,-626855690.287103
full observability,logit,binary,1,1,0,-0.000820505071428501,-0.158371535,-0.000819457375669908,-0.158410627950166,NA
partial observability,logit,binary,1,1,0,-0.000155979661833228,-0.158604510951919,-0.000819457375669908,-0.158410627950166,-233418704.577358
full observability,probit,binary,1,1,0,-0.000821228387195228,-0.158545705,-0.000835372092629294,-0.158504215,NA
partial observability,probit,binary,1,1,0,-0.000417865487893687,-0.158631261570409,-0.000835372092629294,-0.158504215,-233446622.599601
full observability,cloglog,binary,1,1,0,-0.000831345789418791,-0.158437155,-0.000839707124399736,-0.158504215,NA
partial observability,cloglog,binary,1,1,0,-0.000895658540250088,-0.158486011664914,-0.000839707124399736,-0.158504215,-233452819.81401
full observability,cauchit,binary,1,1,0,-0.000790690663621918,-0.158492475,-0.000678059591561531,-0.158504215,NA
partial observability,cauchit,binary,1,1,0,-0.00145032521187483,-0.158297218209714,-0.000678059591561531,-0.158504215,-233447063.728291
full observability,logit,continuous,1,0,2,0.0176306422653496,0.353721257397222,0.017607502575133,0.35370900297977,NA
partial observability,logit,continuous,1,0,2,0.0176415490001506,0.353743683636008,0.017607502575133,0.35370900297977,-889683682.347326
full observability,probit,continuous,1,0,2,0.0175918119800097,0.352906142529801,0.0175883303999298,0.352418406838113,NA
partial observability,probit,continuous,1,0,2,0.0205799138324205,0.395558125036852,0.0175883303999298,0.352418406838113,-889905617.217241
full observability,cloglog,continuous,1,0,2,0.0175903408367988,0.349329327797798,0.0175895270427579,0.337732062404624,NA
partial observability,cloglog,continuous,1,0,2,0.0234165475972857,0.23096357010229,0.0175895270427579,0.337732062404624,-889751004.814625
full observability,cauchit,continuous,1,0,2,0.0175769575924616,0.340810885240994,0.0175839938675178,0.340540746544677,NA
partial observability,cauchit,continuous,1,0,2,-0.0349630437769252,0.0937191313451088,0.0175839938675178,0.340540746544677,-899633160.740492
full observability,logit,binary,1,0,1,0.25256202,-0.273718210987258,0.252544474135583,-0.273762334128477,NA
partial observability,logit,binary,1,0,1,-0.0946215793190359,-0.24714716895432,0.252544474135583,-0.273762334128477,-154402819.430419
full observability,probit,binary,1,0,1,0.252502685,-0.273525225302245,0.25253898,-0.274690012652874,NA
partial observability,probit,binary,1,0,1,0.0878467071220698,-0.373207910863451,0.25253898,-0.274690012652874,-154408710.419448
full observability,cloglog,binary,1,0,1,0.25260679,-0.27359903067729,0.25253898,-0.270840530871561,NA
partial observability,cloglog,binary,1,0,1,-0.103283393577649,-0.151661671170352,0.25253898,-0.270840530871561,-154462252.341054
full observability,cauchit,binary,1,0,1,0.25248794,-0.271701077207872,0.25253898,-0.263755760114417,NA
partial observability,cauchit,binary,1,0,1,-0.553745094314648,0.423627425743894,0.25253898,-0.263755760114417,-155319946.998328
full observability,logit,binary,2,1,1,0.0441985370240111,0.311610548684143,0.0442042719660568,0.311614218387319,NA
partial observability,logit,binary,2,1,1,0.0441869918136726,0.311695556238216,0.0442042719660568,0.311614218387319,-1623331061.95865
full observability,probit,binary,2,1,1,0.0440304832027163,0.31100945683114,0.0450414911682599,0.307623463000357,NA
partial observability,probit,binary,2,1,1,0.0199750632472209,0.331537154094332,0.0450414911682599,0.307623463000357,-1626479277.92422
full observability,cloglog,binary,2,1,1,0.0435309538651827,0.299668401987427,0.0393904083848397,0.30431453956923,NA
partial observability,cloglog,binary,2,1,1,0.09185029799858,4.35725242553531e-08,0.0393904083848397,0.30431453956923,-1618153326.68374
full observability,cauchit,binary,2,1,1,0.0415746271785475,0.30177157135566,0.0310337567834722,0.31363575144745,NA
partial observability,cauchit,binary,2,1,1,0.070606583890993,0.0777127544937869,0.0310337567834722,0.31363575144745,-1641389184.8491
full observability,logit,binary,1,1,0,-0.0261542182225208,0.023125335,-0.0261109870459084,0.0231121393329672,NA
partial observability,logit,binary,1,1,0,-0.0266524549315818,0.00613468300180592,-0.0261109870459084,0.0231121393329672,-36033547.1323459
full observability,probit,binary,1,1,0,-0.0260957429748345,0.0231917650000001,-0.0264777901621885,0.0231699150000001,NA
partial observability,probit,binary,1,1,0,-0.059448390972966,0.0769307391404719,-0.0264777901621885,0.0231699150000001,-36015243.1941137
full observability,cloglog,binary,1,1,0,-0.0261497717375748,0.023185295,-0.0259083287459127,0.0231699150000001,NA
partial observability,cloglog,binary,1,1,0,-0.000170543180744498,-0.00277541398401794,-0.0259083287459127,0.0231699150000001,-36025715.6449393
full observability,cauchit,binary,1,1,0,-0.024495068571094,0.0231636,-0.0203658898367062,0.023169915,NA
partial observability,cauchit,binary,1,1,0,0,-0.00338634571827491,-0.0203658898367062,0.023169915,-36048578.2650612
full observability,logit,continuous,1,2,0,-0.00991623858124768,0.0206327627499406,-0.00991875493996508,0.0206266310957942,NA
partial observability,logit,continuous,1,2,0,-0.00992509932531238,0.0206039698051812,-0.00991875493996508,0.0206266310957942,-7870536872.8303
full observability,probit,continuous,1,2,0,-0.0099255845332652,0.0206293644806168,-0.0100089024288214,0.0206291442544673,NA
partial observability,probit,continuous,1,2,0,-0.00982054778438879,0.0208131779286375,-0.0100089024288214,0.0206291442544673,-7870501979.29429
full observability,cloglog,continuous,1,2,0,-0.0098962911265692,0.0206213700853307,-0.0100477075600698,0.0206283027507257,NA
partial observability,cloglog,continuous,1,2,0,-0.0093900557631823,0.0208145031672944,-0.0100477075600698,0.0206283027507257,-7870441681.04527
full observability,cauchit,continuous,1,2,0,-0.00948786757991504,0.0206104969378953,-0.0085363817993438,0.0206270354682092,NA
partial observability,cauchit,continuous,1,2,0,-0.00948887670769405,0.0202246368453682,-0.0085363817993438,0.0206270354682092,-7870401284.83087
full observability,logit,continuous,2,2,0,0.174780334408609,-0.0690799216060006,0.174784960893676,-0.0690750096760998,NA
partial observability,logit,continuous,2,2,0,0.174809178270178,-0.0690788766487791,0.174784960893676,-0.0690750096760998,-4895593134.17088
full observability,probit,continuous,2,2,0,0.174013489653481,-0.0683102895225036,0.171510925101333,-0.0777360224034355,NA
partial observability,probit,continuous,2,2,0,0.17755621341563,-0.0580735130751535,0.171510925101333,-0.0777360224034355,-4909082603.76191
full observability,cloglog,continuous,2,2,0,0.166606745121584,-0.0653404957778437,0.143650618845465,-0.0835204430050138,NA
partial observability,cloglog,continuous,2,2,0,0.170874764508946,-1.22154150128395e-08,0.143650618845465,-0.0835204430050138,-4931223168.4159
full observability,cauchit,continuous,2,2,0,0.165066037446371,-0.0600858362971949,0.160680043040962,-0.0132762106721586,NA
partial observability,cauchit,continuous,2,2,0,0.219394191296412,-0.0332864546327846,0.160680043040962,-0.0132762106721586,-4995645890.22814
full observability,logit,binary,3,3,4,-0.111713586520775,0.0168652892004011,-0.111713454210023,0.0168650437286578,NA
partial observability,logit,binary,3,3,4,-0.111712700859479,0.0168648215577076,-0.111713454210023,0.0168650437286578,-10626401183877.2
full observability,probit,binary,3,3,4,-0.111274684177892,0.0167917775343217,-0.114343236600275,0.0173952224711547,NA
partial observability,probit,binary,3,3,4,-0.117109694144958,0.0253097900014993,-0.114343236600275,0.0173952224711547,-10645718648566.3
full observability,cloglog,binary,3,3,4,-0.108248218116242,0.0164923970818118,-0.116647590886831,0.0148408305178581,NA
partial observability,cloglog,binary,3,3,4,-0.0651726581622312,0.00218712412533031,-0.116647590886831,0.0148408305178581,-10670939706534.6
full observability,cauchit,binary,3,3,4,-0.10402835550111,0.0159763948505486,-0.0797682863081046,0.0114182143966275,NA
partial observability,cauchit,binary,3,3,4,-0.0583398500462144,0.00627427127198446,-0.0797682863081046,0.0114182143966275,-10959416531382.6
full observability,logit,continuous,1,3,0,0.276559695087259,0.0811771673650283,0.276551067161659,0.0811994757568342,NA
partial observability,logit,continuous,1,3,0,0.276739180919014,0.0809754747726595,0.276551067161659,0.0811994757568342,-2299681645.75904
full observability,probit,continuous,1,3,0,0.276418720993649,0.0812320081607723,0.272369074977825,0.081247522942916,NA
partial observability,probit,continuous,1,3,0,0.277328029306426,0.0872160083139559,0.272369074977825,0.081247522942916,-2299778850.03032
full observability,cloglog,continuous,1,3,0,0.271641996378832,0.0812449411264005,0.263293440848871,0.081216023284137,NA
partial observability,cloglog,continuous,1,3,0,0.203236328700914,0.0390244479244546,0.263293440848871,0.081216023284137,-2301695366.98653
full observability,cauchit,continuous,1,3,0,0.273234328312922,0.0811800075748622,0.297335056159497,0.0811803229943139,NA
